emp_no,first_name,last_name,birth_date,from_date,to_date,title
10013,Eberhardt,Terkki,1963-06-07,1985-10-20,9999-01-01,Senior Staff
10037,Pradeep,Makrucki,1963-07-22,1990-12-05,9999-01-01,Senior Engineer
10061,Tse,Herber,1962-10-19,1989-12-02,9999-01-01,Senior Staff
10068,Charlene,Brattka,1962-11-26,1987-08-07,9999-01-01,Senior Staff
10085,Kenroku,Malabarba,1962-11-07,1994-04-09,9999-01-01,Senior Engineer
10086,Somnath,Foote,1962-11-19,1992-02-19,9999-01-01,Senior Staff
10095,Hilari,Morton,1965-01-03,1994-03-10,9999-01-01,Senior Staff
10133,Giri,Isaak,1963-12-12,1985-12-15,9999-01-01,Senior Engineer
10147,Kazuhito,Encarnacion,1964-10-13,1987-12-18,9999-01-01,Senior Staff
10168,Dharmaraja,Stassinopoulos,1964-09-11,1986-12-06,9999-01-01,Senior Staff
10173,Shrikanth,Mahmud,1962-10-28,1992-03-21,9999-01-01,Senior Staff
10181,Sibyl,Nooteboom,1963-01-22,1988-06-22,9999-01-01,Senior Engineer
10190,Arve,Fairtlough,1964-12-11,1986-06-23,9999-01-01,Senior Engineer
10214,Tadahiko,Ciolek,1962-04-14,1988-02-29,9999-01-01,Senior Staff
10246,Basem,Teitelbaum,1962-06-23,1991-02-01,9999-01-01,Senior Engineer
10271,Sham,Eastman,1962-04-24,1986-05-23,9999-01-01,Senior Engineer
10287,Marie,Pietracaprina,1963-11-28,1997-09-05,9999-01-01,Senior Staff
10319,Mechthild,Miyakawa,1963-03-09,1994-06-18,9999-01-01,Senior Staff
10335,Toshimori,Bahi,1963-03-13,1999-11-07,9999-01-01,Senior Staff
10357,Hausi,Sidhu,1964-01-10,1994-04-04,9999-01-01,Senior Engineer
10378,Takahira,Lichtner,1964-09-05,1992-08-31,9999-01-01,Senior Staff
10383,Leucio,Aumann,1963-11-13,1991-06-19,9999-01-01,Senior Engineer
10436,Yahiko,Lammel,1963-06-17,1988-01-30,9999-01-01,Senior Staff
10457,Oddvar,Schlenzig,1963-11-10,1999-10-23,9999-01-01,Senior Engineer
10464,Mang,Maginnis,1962-09-04,1991-05-21,9999-01-01,Senior Staff
10465,Claudi,Shackel,1963-03-13,1994-12-11,9999-01-01,Senior Staff
